ID,loc_x,loc_y,loc_z,pitch,yaw,roll
142,-135.9861602783203,-5.222370624542236,-1.305414002672478e-06,0.0001107874559238553,150.71066284179688,0.0
143,-139.95806884765625,-4.114100456237793,0.0,0.0,178.10829162597656,0.0
144,-140.35430908203125,2.890956401824951,0.0,0.0,-0.1394605189561844,0.0
145,-134.86074829101562,1.9616104364395142,-3.3355568741094688e-12,-1.4095904532496206e-07,-19.819446563720703,0.0
146,-130.01776123046875,-0.8459194898605347,-9.217023944074754e-06,-0.0001472499716328457,-40.3831672668457,0.0
147,-126.51559448242188,-5.302139759063721,-1.4780301171413157e-05,-4.32662545790663e-06,-63.53451919555664,0.0
148,-125.0718994140625,-10.792339324951172,-1.5157870620896574e-05,-4.32662545790663e-06,-86.99989318847656,0.0
149,-121.55461883544922,-11.829916000366211,-1.5226194591377862e-05,-4.582510428008391e-06,-90.43810272216797,0.0
150,-112.31944274902344,-4.177302360534668,0.0,0.0,179.86053466796875,0.0
151,-116.52532958984375,-4.972623825073242,-5.938642289038398e-07,-7.26838770788163e-05,202.4412841796875,0.0
152,-119.93262481689453,-7.318753242492676,-1.425359550921712e-05,-6.957133882679045e-05,229.5027313232422,0.0
153,-121.50511169433594,-10.90484619140625,-1.5137033187784255e-05,-4.55043300462421e-06,263.1428527832031,0.0
154,-121.10921478271484,13.68741512298584,-3.3132665500090752e-09,-1.4508062804452493e-06,-90.8251724243164,0.0
155,-121.198974609375,8.66476058959961,-1.3393961353358463e-06,-2.9169954359531403e-05,-91.08123016357422,0.0
156,-121.29331970214844,3.6656510829925537,-5.002039415558102e-06,-4.922789958072826e-05,-91.08123016357422,0.0
157,-121.38768005371094,-1.3334591388702393,-9.297984433942474e-06,-4.922789958072826e-05,-91.08123016357422,0.0
158,-121.48200225830078,-6.3319854736328125,-1.3291034520079847e-05,-3.535629002726637e-05,-91.07487487792969,0.0
159,-121.55006408691406,-11.278995513916016,-1.5166977391345426e-05,-7.637141607119702e-06,-90.50190734863281,0.0
160,-124.60885620117188,13.737820625305176,-3.3132665500090752e-09,-1.4508062804452493e-06,-90.8251724243164,0.0
161,-124.69834899902344,8.730805397033691,-1.3393961353358463e-06,-2.9169954359531403e-05,-91.08123016357422,0.0
162,-124.7927017211914,3.731696128845215,-5.002039415558102e-06,-4.922789958072826e-05,-91.08123016357422,0.0
163,-124.88705444335938,-1.2674142122268677,-9.297984433942474e-06,-4.922789958072826e-05,-91.08123016357422,0.0
164,-124.98138427734375,-6.266328811645508,-1.3291034520079847e-05,-3.535629002726637e-05,-91.07487487792969,0.0
165,-125.04993438720703,-11.248336791992188,-1.5166977391345426e-05,-7.637141607119702e-06,-90.50190734863281,0.0
166,-140.34579467773438,6.390945911407471,0.0,0.0,-0.1394605189561844,0.0
167,-136.1966552734375,7.225199222564697,-1.549503103603911e-08,-1.4822941238890053e-06,23.896358489990234,0.0
168,-132.94439697265625,9.674562454223633,-1.9980721788215305e-07,9.457393730372132e-07,52.8994255065918,0.0
169,-131.6190948486328,13.333023071289062,-2.3227384460255962e-08,2.0868276351393433e-06,87.27398681640625,0.0
